年,月,地域区分,データ区分,都道府県コード,都道府県名,地域コード,地域名称,人数
2023,1,市区町村,観光来訪者数,1,北海道,1101,札幌市中央区,324494
2023,1,市区町村,観光来訪者数,1,北海道,1102,札幌市北区,15721
2023,1,市区町村,観光来訪者数,1,北海道,1103,札幌市東区,29141
2023,1,市区町村,観光来訪者数,1,北海道,1104,札幌市白石区,9237
2023,1,市区町村,観光来訪者数,1,北海道,1105,札幌市豊平区,34257
2023,1,市区町村,観光来訪者数,1,北海道,1106,札幌市南区,103110
2023,1,市区町村,観光来訪者数,1,北海道,1107,札幌市西区,28032
2023,1,市区町村,観光来訪者数,1,北海道,1108,札幌市厚別区,12458
2023,1,市区町村,観光来訪者数,1,北海道,1109,札幌市手稲区,31259
2023,1,市区町村,観光来訪者数,1,北海道,1110,札幌市清田区,3489
2023,1,市区町村,観光来訪者数,1,北海道,1202,函館市,53762
2023,1,市区町村,観光来訪者数,1,北海道,1203,小樽市,68402
2023,1,市区町村,観光来訪者数,1,北海道,1204,旭川市,142524
2023,1,市区町村,観光来訪者数,1,北海道,1205,室蘭市,13633
2023,1,市区町村,観光来訪者数,1,北海道,1206,釧路市,50918
2023,1,市区町村,観光来訪者数,1,北海道,1207,帯広市,36564
2023,1,市区町村,観光来訪者数,1,北海道,1208,北見市,20137
2023,1,市区町村,観光来訪者数,1,北海道,1209,夕張市,19320
2023,1,市区町村,観光来訪者数,1,北海道,1210,岩見沢市,27560
2023,1,市区町村,観光来訪者数,1,北海道,1211,網走市,28056
2023,1,市区町村,観光来訪者数,1,北海道,1212,留萌市,8670
2023,1,市区町村,観光来訪者数,1,北海道,1213,苫小牧市,42746
2023,1,市区町村,観光来訪者数,1,北海道,1214,稚内市,15994
2023,1,市区町村,観光来訪者数,1,北海道,1215,美唄市,6112
2023,1,市区町村,観光来訪者数,1,北海道,1216,芦別市,14083
2023,1,市区町村,観光来訪者数,1,北海道,1217,江別市,9806
2023,1,市区町村,観光来訪者数,1,北海道,1218,赤平市,77
2023,1,市区町村,観光来訪者数,1,北海道,1219,紋別市,9796
